"Timestamp","Titlu proiect","Scurta descriere","Obiective","Grup tinta","Numar de persoane participante","Materiale necesare","Resurse financiare necesare","Organizator","Informatii suplimentare","Categorie","Translator"
"9/26/2012 18:56:54","Leo Lions Action Day (LLAD)","Activitatea la nivel national ia loc o data pe an,in mai,in sâmbata dinaintea zilei Mamei. Membrii Leo din Austria conlucreaza cu Clubul Lions si colecteaza produse neperisabile si de igienaintr-un lant de supermarketuri. Clientii sunt rugati sa cumpere un produsin plus, pe care sail doneze. Aceste produse sunt ulterior livrate catre familii din zona sau catre organizatii caritabile ( adaposturi, azile etc.).in aceasta zi, bunuri cu o valoare de aproximativ 300.000 Euro sunt colectate anual. Este o activitate care poate fi usor preluata si la nivel de club.","Sa se colecteze o data pe an produse neperisabile pentru oamenii nevoiasi.","Oamenii nevoiasi din zona si/sau organizatii de caritate.","La nivel de club, 2-3 persoane pentru pregatire si 10 membri pentru punereain practica.","Trebuie ceruta permisiunea conducerii supermarketului pentru a realiza aceasta activitate. Promovarea anterioara este importanta ( ziarul local, posterein supermarket).in ziua proiectului, e nevoie doar de un stand unde membrii Leo colecteaza produsele donate.","Nu e nevoie de un buget special alocat.","MDin Austria, activitate la nivel national - fiecare club participa","Contacteaza ILO , ilo@leo.at","Fundraising - produse","Rosu stefan"
"9/26/2012 19:09:08","Strângerea de produse de igiena","Se face ointelegere cu magazine mai mari astfelincât sa se poata plasa unul sau doua cosuri de cumparaturiintr-o zona vizibila ( cel mai binein apropierea caselor de marcat). Lânga cosuri ( sau pe ele) scriem ceea ce dorim sa colectam ( cel mai bine e sa se scrie exact produsele necesare cum ar fi: deodorant, sampon, etc.) si pentru cine ( Centrul deingrijire ""nume/oras"").in loc de simpla lasare a cosurilorin magazin, doi sau mai multi membri Leo pot fi prezenti acolo ( poate pentru o saptamâna,in fiecare zi altcineva) si sa explice oamenilor cine sunt si care este scopul lor.","Colectarea si donarea produselor de igiena pentru centre deingrijire materna.","Toti clientii care cumpara diverse produse din magazine.","-","O lista a produselor necesare.","Niciuna.","Leo Clubs Mavrice Celje, Slovenia","www.leodistrikt.si, www.leo-mavrica.com (doarin limba slovena),
Špela Bovha, spela.bovha@gmail.com","Fundraising - produse","Rosu stefan"
"9/26/2012 19:18:16","“Copiii, la scoala!”(“Lapsed kooli!”)","De-a lungul unei saptamâni, membrii Leo strâng rechizitein supermarkete, pentru a le dona Asociatiei Familiilor Numeroase ( 4 sau mai multi copiiin familie).","Ajutarea familiilor mari lainceputul anului scolar cu rechizite.","Clientii supermarketului","Pentru pregatire un grup mic de 2-3 persoane. Pentru punereain practica aproximativ 40 (cu cât mai multi, cu atât mai bine).","Fiecare ziin supermarket necesita macar 2 membri Leo pe tura.","Aproximativ 190 Euro pentru postere, fluturasi si ajutor de transport pentru membrii Leo care au calatorit din alte orase pentru a ajuta cluburiinfratite.","Lions District Estonia","Kaisa Velström, kaisa87@gmail.com
Marite Promvalds, marite.promvalds@gmail.com","Fundraising - produse","Rosu stefan"
"10/1/2012 21:05:34","Pachete de Ramadan","Leo pregateste pachete cu mâncare care sunt distribuite familiilor nevoiase din zonele rurale","Sa asigure un pic de hranain plus familiilor nevoiase.","Familii nevoiase.","25-30","Se face o lista cu necesarul si se aleg alimentelein functie de cel mai bun pret. Trebuie luatein calcul si plaselein care vor fi puse alimentele. Trebuie asigurat transportul pentru alimente, de la magazin la locul de desfasurare al proiectului.","Pretul unui pachet este in jur de 10 euro. Transportul costa 15 euro.","Proiect de district in Egipt.","Samer Nagui, samernagui@hotmail.com, +20100001130
Proiectul are pagina de eveniment pe Facebook si va fi promovat pe fiecare website al cluburilor din Egipt.","Proiecte de service","Silviu V"
"10/1/2012 21:20:35","Distribuirea de pachete de Ramadan","Leo distribuie pachete cu mâncare familiilor din zonele rurale. Sunt distribuite in medie 500 de pachete, fiecare având cam 15 kilograme.","Ajutorarea familiilor din zonele rurale.","Persoane din zone rurale.","Cât mai multi Leo.","Trebuie informata persoana de contact din zona rurala asupra datei si orei desfasurarii proiectului. Persoana de contact va informa persoanele nevoiasein ce zi si la ce ora sa vina sa ridice pachetele. Trebuie asigurat transportul pachetelor de la locatia de depozitare la locatia de distribuire.","Costul transportului pleaca de la 20 de euro si poate creste,in functie de distanta pâna la zona rurala.","Proiect de districtin Egipt.","Samer Nagui, samernagui@hotmail.com, +20100001130
Proiectul are pagina de eveniment pe Facebook si va fi promovat pe fiecare website al cluburilor din Egipt.","Proiecte de service","Silviu V"
"10/1/2012 22:09:10","Vizitarea orfanilor","Leo viziteaza orfelinate si distribuie biscuiti, sucuri si dulciuri copiilor. Organizeaza jocuriimpreuna cu copiii si socializeaza cu ei.","Leo viziteaza orfelinate pentru a se juca cu copiii si pentru a le aduce un zâmbet pe fata.","Orfelinate/orfani.","In jur de 7 Leo (depinde de numarul de copii orfani).","Biscuitii, sucurile si dulciurile pentru copii. Câteodata cadouri si jucarii.in unele cazuri Leo aduce materiale diferite la orfelinate diferite,in functie de nevoi (jocuri, paturi, saltele).","Pentru biscuiti, sucuri si dulciuri, pentru aproximativ 30 de copii, bugetul este 20 de euro.","Leo Club Heliopolis si Leo Club Giza Pyramids, Egipt","Samer Nagui, samernagui@hotmail.com, +20100001130
Frederick Nabil Khoury, frederick.khoury@gmail.com,
+20101998772
Proiectul are pagina de eveniment pe Facebook si va fi promovat pe fiecare website al cluburilor din Egipt.","Proiecte de service","Silviu V"
"10/1/2012 22:27:11","O iesire de o zi cu orfani","Leo pregateste o zi speciala pentru orfani. Un fel de zi de carnaval pentru copii. Leo pregatesc jocuri pentru copii, le organizeaza petreceri, le aduc produse alimentare etc.","Leoincearca sa aduca un zâmbet pe fata copiilor orfani, jucându-se cu ei siinvatându-i noi experiente.","Orfani","În jur de 30 de leuti.","Pentru colorat: hârtie, culori, carioci. Folie protectoare, care sa protejeze hainutele copiilor de murdarie. Cadouri, cum ar fi ghiozdane, haine, incaltaminte. Dulciuri, biscuiti, ciocolata. Asigurarea micului dejun si a pranzului. Materiale de prim ajutor.","Activitatea este in general sponsorizata de club (social si sportiv). Leo pregateste si organizeaza, iar clubul plateste cheltuielile.","Proiect de districtin Egipt.","Samer Nagui, samernagui@hotmail.com, +20100001130
Proiectul are pagina de eveniment pe Facebook si va fi promovat pe fiecare website al cluburilor din Egipt.","Proiecte de service","Silviu V"
"10/1/2012 22:33:30","Vizite la batrâni","Leo pregateste vizite la batrâni. Câteodata este vorba despre socializareintre Leo si batrâni, iar altadata Leo aduce jocuri si se joacaimpreuna cu batrânii.","Petrecerea timpului liberimpreuna cu batrânii.","Batrânii.","În functie de numarul de batrâni.in generalintre 5 si 8 Leo.","Leo pregateste cosulete cu fructe/salata de fructe pentru batrâni. Farfurii de plastic pentru fructe/salata de fructe. Jocuri ca sahul, bingo etc.","Pentru 30 de batrâni, costurile se ridica la aproximativ 45-50 de euro.","Leo Club Heliopolis, Leo Club Giza Pyramids, Leo
Club North Cairo, Egypt. Fiecare club individual.","""Samer Nagui, samernagui@hotmail.com, +20100001130
Marina Nagui Fekry, marinanagui@leo-heliopolis.org,
+20122905108
Proiectul are pagina de eveniment pe Facebook si va fi promovat pe fiecare website al cluburilor din Egipt.""","Proiecte de service","Silviu V"
"10/2/2012 1:03:11","Vãzul pe primul loc","Leo ia copii de la orfelinate si ii duce la oftalmolog pentru o consultatie. Leo asigura ochelarii si picaturile de ochi, daca e nevoie.","Sprijinul orfanilor cu deficiente de vedere.","Copii orfani.","2-3 membri Leo care duc copiii cu masina lor la cabinet.","Ochelarii si picaturile de ochi sunt primite ca sponsorizare.","Depinde de donatiile primite de la cabinetele oftalmologice, care ofera ochelarii, si de bugetul clubului, care cumpara picaturile de ochi.","Leo Club Heliopolis, Egipt","Samer Nagui, samernagui@hotmail.com, +20100001130
Marina Nagui Fekry, marinanagui@leo-heliopolis.org,
+20122905108
Proiectul are pagina de eveniment pe Facebook si va fi promovat pe fiecare website al cluburilor din Egipt.","Proiecte de service","Silviu V"
"10/2/2012 1:13:43","Caravana medicala","Leo organizeaza un proiect pentru consultarea si tratamentul medical al oamenilor nevoiasi din zonele rurale.","Oferirea de ajutor medicalin zonele rurale.","Oameni bolnavi din zonele rurale.","Aceasta activitate necesita un numar mare de leuti, precum si alti participanti - doctori - pentru consultatie, diagnosticare si prescriere de medicamente. De alti leuti este nevoie pentru documentatie, intrarea pacientilor etc.","Echipament medical. Pregatirea clinicii mobile si organizarea intrarii pacientilor.","Esta un proiect destul de scump. Costain jur de 150 de euro pentru organizarea clinicii mobile si a doctorilor. De asemenea, mai este nevoie de fonduri pentru cumpararea medicamentelor.","Activitate de districtin Egipt. Organizatain parteneriat si cu alte ONG-uri, ca de exemplu Rotaract.","Samer Nagui, samernagui@hotmail.com, +20100001130
Proiectul are pagina de eveniment pe Facebook si va fi promovat pe fiecare website al cluburilor din Egipt.	","Proiecte de service","Silviu V"
"10/2/2012 1:21:12","Constructia unei casein Alpi","Leo ajuta la constructia unei parti dintr-o ferma din Alpi. Activitatea se desfasoarain colaborare cu Lions.","Sprijin pentru constrctia unei parti dintr-o ferma din Alpi.","Fermierii.","Cel putin 6.","Unelte pentru constructie.","Niciunul, daca transportul e gratis.","Leo Club Zentrahweiz, Elvetia","http://www.lionsase.org/show.asp?ClubID=90319&LanguageCode=GER","Proiecte de service","Silviu V"
"10/3/2012 13:05:00","Pachete de Ramadan","Leo pregatesc pachete de mâncare şi le distribuiein zone rurale catre familii nevoiaşe.","Sa ajute familiile cu mâncare","Familiile nevoiaşe","25-30","Gasiţi preţurile de pe piaţa pentru obiectele din pachete şi apoi alegeţi cea mai buna oferta şi cumparaţi obiectele; pungii de plastic pentru pachete. Rezolvarea mijlocului de transport al produselor de la magazin sau fabrica catre locaţia unde se vor realiza pachetele.","Preţul unui pachet esteintre 50LE-55LE (~10 Euro). Transportul costain jur de 100 LE (~15 Euro).","Proiect districtualin Egipt.","Samer Nagui, samernagui@hotmail.com, +20100001130
Activitatea are o pagina de eveniment pe Facebook şi va aparea şi pe fiecare pagina web a cluburilor din Egipt.
","Proiecte de service","Vlad"
"10/3/2012 13:10:08","Distribuirea pachetelor de Ramadan","Leo distribuie pachetele de mâncare familiilor nevoiaşe din zonele rurale. Numarul mediu de pachete este 500, fiecare având aproximativ 15 kg.","Distribuirea pachetelor gata pregatite catre familiile nevoiaşe","Oamenii din zonele rurale","Cât mai mulţi Leo posibil.","Informarea persoanelor de contact din zona rurala despre data şi ora acţiunii. Persoana de contact va informa familiile nevoiaşe despre aceste informaţii. Mijlocul de transport de la spaţiul de depozitare pânain zonele rurale.","Costurile de transport costaincepând de la 150LE (~20 Euro), depinzând de distanţa pâna la zona rurala.","Proiect districtualin Egipt","Samer Nagui, samernagui@hotmail.com, +20100001130
Activitatea are o pagina de eveniment pe Facebook şi va aparea şi pe fiecare pagina web a cluburilor din Egipt.
","Proiecte de service","Vlad"
"10/3/2012 13:19:27","Conştientizare Cancer","Leo invita doctori specialiştiin cancer din Marea Britanie sa vna şi sa ofere o sesiune de conştientizare de cancer şi cancer paliativ pentru doctorii şi asistentele din Egipt.","Sa ofere informaţii doctorilor şi asistentelor din Egipt.","Doctorii şi asistentele din Egipt.","5-10 Leo pentru organizarea sesiuniiintr-o sala de conferinţe şi pentru promovare şi invitarea doctorilor, asistentelor şi a reprezentanţilor presei.","Sala de conferinţe pentru 5 zile. Traducerea broşurilor de conştientizarein araba.","Costurile se ridica la aproximativ 5000LE pentru sala de conferinţa din hotel, 1000LE pentru traducerea şi imprimarea broşurilor.in total aproximativ 900 de Euro.","Leo Club Heliopolis, Egipt","Samer Nagui, samernagui@hotmail.com, +20100001130
Marina Nagui Fekry, marinanagui@leo-heliopolis.org, +20122905108
Activitatea are o pagina de eveniment pe Facebook şi va aparea şi pe fiecare pagina web a cluburilor din Egipt.
","Activitati sociale","Vlad"
"10/3/2012 13:24:18","Ziua cancerului la copii","Leo viziteaza copiii bolnavi de cancerintr-unul dintre cele mai mari spitale pentru copiii bolnavi de cancer din lume,in Cairo.","Sa petrecem timp cu copiii din spital.","Copiii bolnavi de cancer.","Toţi membri Leo merg sa se joace cu copiii şi saiiinveseleasca şiincurajezein misiunea lor grea de a se vindeca.","Jocuri, poveştiincurajatoare, suc şi biscuiţi, DJ pentru copii şi show cu papuşar.","Aproximativ 2000LE, adica 300 Euro.","Leo Club Heliopolis, Leo Club North Cairo, Rotaract, Ambasada SUA şi UNICEF Egipt.","Samer Nagui, samernagui@hotmail.com, +20100001130
Marina Nagui Fekry, marinanagui@leo-heliopolis.org, +20122905108
Activitatea are o pagina de eveniment pe Facebook şi va aparea şi pe fiecare pagina web a cluburilor din Egipt.
","Activitati sociale","Vlad"
"10/3/2012 13:29:07","Îngrijire Dentala pentru Orfani","Leo viziteaza câteva orfelinate şi verifica dantura orfanilor, le dau sfaturi stomatologice şi cadouri constândin periuţe şi paste de dinţi.","Servici Comunitar","Orfani","În medie, 5 dentişti Leo şi de exempluinca 2-3 Leo pentru organizarea orfanilorin timpul controlului.","Dentişti, periuţe şi paste de dinţi.","Sponsorizare de la o companie care produce periuţe şi paste de dinţi.","Leo Club North Cairo, Egipt.","Samer Nagui, samernagui@hotmail.com, +20100001130
Frederick Nabil Khoury, frederick.khoury@gmail.com, +20101998772
Activitatea are o pagina de eveniment pe Facebook şi va aparea şi pe fiecare pagina web a cluburilor din Egipt.
","Activitati sociale","Vlad"
"10/3/2012 14:26:14","Cautarea oamenilor disparuţi","Aceasta activitate are scop de a readuce oameniiimpreuna, mai ales pe ceiin vârsta, care au pierdut contactul cu familiile lor.","Readucerea familiilorimpreuna.","Oamenii care au pierdut contactulintre ei.","4 Leo",0,"Nicio resursa","Leo Club Brandenburg an der Havel, Germany","Christian Jankowski, CJanko78@aoul.com","Activitati sociale","Vlad"
"10/3/2012 14:32:59","Anul Nou pentru copiii din Spitalul Municipal Moscova nr. 20, Dr. Rashalya","Sarbatorirea pentru copii care nu au posibilitatea sa sarbatoreasca (copii ţintuiţi la pat de rani sau fracturi).","Activitate sociala.","Copiii spitalizaţiin perioada Anului Nou.","4 actori Leo de sarbatori: Moş Craciun, Fecioara Zapezii, Petrushka şi Iepuraşul. Acompaniament muzical: acordeonist, chitarist, 2 Leo. Doctori, 2 persoane din cadrul spitalului sau 2 Leo daca sunt doctori. Doi asistenţi Leo.","Costume, machiaj, cadouri pentru copii, jucarii de Craciun, pom de Craciun, acord din partea spitalului, scenariu pentru spectacol, ghicitori, cântece şi poezii.","Bani pentru cadouri deşi parinţii copiiilor aduc cadouri.","Leo Club Moscow Stream, Rusia","Natalia Miroshnikova, snowtiger8@gmail.com","Activitati sociale","Vlad"
"10/3/2012 14:34:55","Concurs de pictura pentru copii cu disabilitaţi","Copiii picteaza lumea pe care şi-o doresc.","Activitate sociala.","Copii","În funcţie de numarul copiiilor participanţi e nevoie de 1-3 Leo pentru a-i ajuta pe copii.","Materiale de pictat (vopsele, hârtie, pensule, etc.). Premii pentru câştigatori. Data evenimentului.","Depinde de numarul de copii,in medie 40 de Euro pentru 30 de copii.","Leo Club Fuete, Rusia","Natalia Miroshnikova, snowtiger8@gmail.com","Activitati sociale","Vlad"
